Jurisdiction,Year,Category ,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Howard County,2025,Non-Hisp White Female,3641,3683,3848,2898,2736,4591,5082,4580,4441,3888,4552,5783,6776,6429,5580,4581,3021,2429,78539
Prince George's County,2030,Non-Hisp Other Male,2213,1839,1608,1637,2805,3178,2202,2211,1992,1793,1891,1812,1665,1296,1053,602,277,162,30236
Prince George's County,2030,Non-Hisp White Female,2489,2361,2225,1918,3364,3035,3197,3868,3549,2682,2433,2260,2627,3381,3778,3191,2261,2452,51071
State of Maryland,2025,Non-Hisp Black Male,62953,62028,64754,61785,54728,55195,62669,60357,56770,51563,50705,53244,52573,42423,28856,19278,10189,7781,857851
Washington County,2040,Non-Hisp Other Female,591,612,640,578,422,327,707,656,542,431,311,323,271,241,187,92,7,22,6960
St. Mary's County,2020,Non-Hisp Other Female,289,303,462,408,262,263,220,217,245,220,244,251,194,142,121,61,20,5,3927
Prince George's County,2035,Hispanic Female,6944,6408,6620,6414,6819,5452,5869,4764,5442,6559,6985,6546,4976,3392,2133,1277,551,213,87364
Allegany County,2015,Hispanic Male,20,32,47,40,36,35,14,24,26,17,19,14,10,11,7,4,3,3,362
Prince George's County,2045,Non-Hisp White Male,2150,1647,1610,1695,4613,4167,3374,2715,2499,2842,3786,3274,2194,1631,1386,1404,1442,1798,44227
Dorchester Co,2015,Non-Hisp Other Female,32,80,53,40,36,42,39,32,33,24,33,41,27,19,18,4,3,3,559
Allegany County,2010,Total Non-Hispanic White,3083,3256,3474,3942,4506,3515,3215,3490,3983,4597,4779,4477,4338,3509,2946,2338,1935,1590,62973
Calvert County,2030,Hispanic Male,212,200,174,204,146,178,135,120,134,113,104,81,59,60,30,27,16,40,2033
Harford County,2010,Hispanic Female,463,454,410,331,263,322,361,335,268,262,195,141,90,62,35,49,23,13,4077
Montgomery County,2010,Non-Hisp Black Male,6001,5864,6096,6066,4825,5273,5109,5431,5725,5636,5110,3700,2817,1809,1259,818,489,342,72370
Garrett County,2025,Hispanic Female,24,25,29,13,13,5,12,8,15,17,18,15,8,6,5,7,3,2,225
Washington County,2020,Non-Hisp White Male,3252,3132,3549,3524,2970,2877,3141,3418,3451,3714,4385,4749,4312,3634,2890,2002,1242,1160,57402
Wicomico County,2025,Hispanic Male,299,270,278,307,240,190,248,354,334,253,167,135,120,63,29,9,9,7,3312
Kent County,2025,Hispanic Female,32,22,21,35,35,29,19,30,38,34,20,17,16,7,2,1,1,0,359
Baltimore County,2045,Non-Hisp White Female,8494,8412,8117,8159,8660,9165,9820,9323,9572,9896,10313,11447,11463,10111,9668,9994,9799,14120,176533
Talbot County,2015,Non-Hisp Other Female,22,78,74,55,44,24,39,30,25,49,40,18,18,5,8,7,2,5,543
Carroll County,2020,Hispanic Female,247,255,256,268,227,203,186,190,154,171,162,149,88,44,17,18,15,13,2663
Calvert County,2010,Non-Hisp Black Male,344,380,474,493,364,247,275,324,473,538,449,380,269,207,135,100,62,43,5557
Somerset County,2035,Non-Hisp White Female,236,240,246,260,242,219,265,285,308,401,468,465,534,481,505,447,302,239,6143
Wicomico County,2015,Hispanic Female,274,310,204,166,206,232,253,195,138,98,99,67,28,26,20,10,7,10,2343
Caroline County,2010,Non-Hisp Other Male,70,76,49,42,22,18,19,15,25,15,22,24,13,10,3,5,1,1,430
Baltimore City,2020,Total Non-Hispanic White,9764,5411,4070,4013,9958,24705,23641,16181,11087,8641,8420,8872,8968,7897,6451,4292,2455,2760,167586
Garrett County,2025,Hispanic Male,18,17,28,25,27,9,11,12,16,15,8,10,10,0,1,3,2,6,218
Talbot County,2010,Non-Hisp Other Male,77,60,48,47,35,37,27,32,39,25,27,34,16,11,8,8,2,1,534
Montgomery County,2025,Non-Hisp White Male,10484,10184,10577,8192,5763,8690,12806,14979,13530,11214,11494,13095,14826,13792,11726,9488,5798,4695,191333
Caroline County,2010,Total Non-Hispanic White,1605,1637,1626,1728,1399,1463,1475,1592,1842,2091,2070,1786,1607,1225,828,682,457,403,25516
Baltimore County,2040,Non-Hisp Other Male,3772,3622,3387,3362,3334,3460,4090,3712,3285,3009,2802,2620,2658,2489,1889,1460,854,404,50209
Calvert County,2040,Non-Hisp Other Male,211,214,251,200,107,100,179,188,182,139,127,106,91,92,97,77,33,9,2403
Prince George's County,2035,Total Non-Hispanic Black,33824,34038,33500,33428,34479,36491,33673,37124,41925,38007,32743,30630,32056,33671,31952,25594,18433,23414,584982
Worcester County,2030,Total Non-Hispanic Black,552,479,502,461,538,504,499,503,409,389,390,297,383,528,494,401,219,173,7721
Queen Anne's County,2020,Total Non-Hispanic White,2012,2237,2571,2633,1820,1719,2460,2528,2239,2763,3496,4044,3668,2891,2470,1995,957,869,43372
Allegany County,2045,Non-Hisp Black Female,91,60,67,97,156,128,92,68,53,66,114,98,42,50,27,32,47,118,1406
Talbot County,2020,Hispanic Female,162,173,140,104,72,71,91,112,100,72,60,43,34,19,17,11,3,2,1286
Baltimore City,2015,Total Male,19278,17837,16978,15280,20873,28202,24541,19842,16790,17177,18611,18080,14513,11021,7148,4696,2883,2720,276470
Washington County,2040,Total,12488,12470,12633,12043,10514,9952,11387,11697,10503,9748,9777,9942,9399,9164,8706,8126,5615,5461,179625
Prince George's County,2010,Total,58503,54438,55853,59216,64793,64239,60790,60470,62976,65866,61514,52988,43588,29461,19975,13735,8486,7201,844092
Wicomico County,2045,Total Female,3908,4102,4110,4286,5204,4012,3700,4732,4709,4412,4211,3789,3223,2989,2508,2358,2102,2578,66933
Garrett County,2020,Non-Hisp Black Female,42,18,18,15,18,24,9,4,2,2,1,0,0,1,0,1,3,1,159
Frederick County,2040,Total Hispanic,4182,3913,3577,3198,2701,2793,2900,2768,2643,2232,2071,2098,2089,1753,1457,1170,722,469,42736
Baltimore County,2035,Non-Hisp Other Male,3611,3374,3355,3311,3429,4077,3701,3284,3029,2810,2646,2675,2580,2020,1611,1296,644,342,47795
Montgomery County,2035,Non-Hisp White Female,7693,8693,9515,8247,6598,7986,8102,9452,11915,13946,12307,10260,10165,11471,12307,11714,10009,10902,181282
Wicomico County,2020,Total Hispanic,537,552,616,443,361,455,595,598,448,307,231,217,120,75,34,30,9,22,5650
Cecil County,2045,Total,8983,9922,9687,9156,8440,8223,7917,9532,8957,7941,7997,7886,7107,6297,5878,5733,4592,5423,139671
Calvert County,2035,Total Hispanic,436,418,407,393,338,380,370,303,289,252,260,224,109,132,144,63,33,56,4607
Allegany County,2025,Non-Hisp White Female,1410,1564,1374,1497,1575,1509,2230,1657,1838,1551,1944,2068,2465,2480,2049,1767,1136,1019,31133
Prince George's County,2030,Total Male,29503,28393,27347,28695,30143,29757,28644,34925,32642,29849,27405,25463,25070,23440,17984,12423,7739,6022,445444
Harford County,2015,Total,13985,15650,16844,16889,14310,14626,15471,14475,15580,18017,20540,19216,15575,13029,9215,5674,4290,4203,247589
Charles County,2025,Total Hispanic,1215,1102,1161,1093,1050,942,969,919,746,703,623,532,387,240,168,91,42,44,12027
Kent County,2015,Total Hispanic,59,87,64,51,41,79,82,62,57,28,29,14,15,5,1,3,2,0,679
Somerset County,2045,Non-Hisp Other Female,38,52,64,39,54,43,34,61,46,38,38,23,11,9,8,8,5,3,574
Anne Arundel County,2010,Total,34551,34288,34840,32649,30628,35652,33847,35051,39018,43925,41030,35337,30597,22034,14487,10819,7975,6795,523523
Howard County,2015,Hispanic Male,913,1067,979,940,888,827,867,948,755,750,552,368,238,148,80,47,20,11,10398
Garrett County,2020,Total,1483,1534,1732,1790,1749,1516,1479,1714,1687,1851,2104,2408,2402,2056,1677,1227,729,600,29738
Prince George's County,2030,Non-Hisp Black Male,17428,17182,16728,17395,16728,15677,16706,20320,17625,15575,14198,14517,15700,15346,12191,8185,5328,4308,261137
Calvert County,2030,Total Non-Hispanic White,4103,4641,4720,4009,3040,3878,5181,5433,5294,4602,3656,3826,5061,5814,4696,3337,2279,2039,75609
Cecil County,2025,Non-Hisp Black Female,273,228,235,260,253,348,369,298,237,300,313,314,319,198,142,93,26,26,4232
Worcester County,2010,Non-Hisp White Female,696,843,937,990,864,890,827,1014,1305,1610,1707,1755,1924,1807,1361,1080,739,613,20962
Harford County,2040,Non-Hisp Black Male,1974,1956,2092,1916,1207,1182,1487,1653,1655,1669,1442,1305,1045,1048,869,528,341,307,23676
Allegany County,2015,Non-Hisp Black Male,42,45,60,54,115,129,85,62,57,45,60,47,53,14,16,11,5,3,903
Carroll County,2035,Total Female,4481,5017,4844,4286,3547,3793,4959,5576,5548,5230,4708,4077,5001,6483,6931,5941,4512,5223,90157
Cecil County,2035,Non-Hisp Other Male,348,340,285,199,169,323,298,253,172,146,124,99,116,99,54,14,10,5,3054
Allegany County,2020,Hispanic Female,23,17,22,39,58,28,11,19,18,28,31,19,20,10,10,10,2,2,367
State of Maryland,2040,Total Hispanic,70700,66323,62223,59977,56649,59600,57085,55337,48150,49996,55119,57251,51255,38404,26203,18709,10171,5021,848173
Prince George's County,2040,Total Female,27971,26585,26532,26983,28615,32896,29829,29033,29950,33010,32365,28852,27353,24866,23526,22424,17530,27702,496022
State of Maryland,2030,Total Male,201479,197268,195190,187011,179897,195530,195078,214267,211891,198720,176904,171950,176992,175001,142672,102113,67786,55213,3044962
Somerset County,2030,Non-Hisp White Male,249,236,263,238,217,263,257,319,361,409,384,416,426,561,486,372,229,157,5843
Worcester County,2015,Non-Hisp Black Female,183,235,253,229,229,200,211,202,163,207,313,291,220,230,145,166,96,84,3657
Charles County,2035,Total Female,6608,7006,7259,6958,5477,6092,6870,7921,7985,6881,6510,6364,7319,7921,7128,5293,3328,2964,115884
Calvert County,2025,Total Non-Hispanic Black,634,628,680,722,615,621,799,799,749,783,829,1134,1117,892,724,492,270,194,12682
Anne Arundel County,2030,Total Non-Hispanic Black,7528,7830,7975,7239,5948,6342,7274,8344,8326,8342,6834,6552,6529,6129,4287,2717,1534,1162,110892
Charles County,2015,Hispanic Male,530,412,400,352,360,367,337,268,263,259,219,147,107,50,30,28,12,10,4151
Prince George's County,2015,Non-Hisp Black Male,17780,17523,17942,18953,20133,17994,16069,15794,16707,18511,19428,17485,13988,11102,6912,4228,2282,1388,254219
Dorchester Co,2040,Non-Hisp Other Female,85,67,49,35,25,26,85,76,68,62,64,63,42,36,28,7,8,2,828
Montgomery County,2015,Total Non-Hispanic Black,13160,11402,15220,11828,11668,14762,14520,13586,13401,13058,13145,11172,8236,6032,4205,2614,1614,1591,181214
Allegany County,2025,Total Female,1624,1755,1580,1788,1859,1739,2453,1848,1968,1665,2076,2156,2562,2556,2133,1826,1176,1073,33837
Somerset County,2045,Total Male,760,712,772,763,876,560,479,522,663,661,674,674,641,619,485,371,400,287,10919
Cecil County,2020,Non-Hisp Other Male,160,133,263,241,208,158,126,108,82,102,98,110,89,55,34,6,6,5,1984
Baltimore County,2020,Hispanic Female,2361,2462,2316,1877,1737,1933,2058,1972,1798,1539,1133,892,683,447,345,163,76,84,23876
Carroll County,2040,Total Hispanic,731,755,745,706,649,666,678,654,606,605,525,496,348,218,147,133,53,51,8766
St. Mary's County,2015,Total Non-Hispanic Black,1108,1191,1241,1130,1038,1068,1025,841,978,1212,1275,1074,741,521,382,206,160,159,15350
Prince George's County,2010,Non-Hisp Other Female,2153,1817,1758,1758,2331,2587,2335,2174,1943,1944,2023,1866,1555,983,634,472,302,238,28873
Frederick County,2015,Total,14271,15181,17081,16651,14247,14559,14842,14575,16216,18759,20587,18051,14319,11507,7434,5112,3649,4074,241115
Howard County,2030,Hispanic Female,1372,1250,1155,1166,1315,1254,1255,1161,978,987,932,826,677,384,284,200,126,59,15381
St. Mary's County,2010,Hispanic Male,236,204,188,160,177,214,180,135,139,98,98,57,25,10,14,11,6,4,1956
Talbot County,2045,Total Non-Hispanic Black,299,342,401,390,361,340,319,309,341,312,387,366,324,290,277,288,278,274,5898
Charles County,2040,Total Male,7057,7432,8026,7775,5715,5461,5680,6218,6699,6566,5708,4938,4446,4760,4926,4146,2487,1490,99530
Howard County,2045,Non-Hisp Black Female,2957,3240,3619,3393,2502,2842,3234,3461,3611,3978,4231,3583,3347,2741,2163,1948,1583,1207,53640
Worcester County,2015,Hispanic Female,71,93,72,61,34,76,66,69,55,46,33,26,18,14,12,9,5,4,764
Somerset County,2030,Total Non-Hispanic Black,708,593,552,686,1212,753,542,589,257,264,357,330,341,434,336,207,153,107,8421
Worcester County,2020,Total,2238,2283,2843,2743,2309,2402,2520,2496,2522,2836,3628,4673,4816,4188,3695,2824,1777,1488,52281
Harford County,2025,Total Male,8095,7749,7607,8032,7059,7798,8454,8340,7991,6863,7301,8239,9030,7934,5876,4204,2545,2075,125192
Harford County,2010,Non-Hisp Other Female,717,689,624,487,314,380,391,490,412,399,366,261,234,182,108,78,51,29,6212
Frederick County,2025,Total Non-Hispanic White,11901,10144,9267,10223,12343,14203,13781,12122,10927,9682,11141,13798,15938,13735,10481,8594,5409,5855,199544
Cecil County,2015,Non-Hisp White Female,2076,2609,2795,2587,2259,2647,2430,2522,2860,3445,3797,3666,3088,2496,1726,1154,855,806,43818
Talbot County,2010,Total Female,902,1028,1026,1026,841,899,832,984,1199,1470,1509,1528,1572,1479,1093,814,649,723,19574
Charles County,2015,Non-Hisp White Male,1750,1627,1920,2083,2002,1910,1935,1689,1852,2576,3193,3018,2401,1959,1485,858,521,340,33119
Somerset County,2040,Total Male,746,741,789,710,793,576,494,594,685,654,605,638,678,588,467,538,368,264,10928
Howard County,2015,Non-Hisp White Male,4001,3963,5405,5632,5071,5361,4729,4057,4445,5888,7849,7527,6414,5124,3339,2001,1226,1037,83069
Dorchester Co,2040,Non-Hisp Black Male,388,378,391,361,281,237,312,361,435,387,439,449,372,262,204,185,129,79,5650
Calvert County,2045,Non-Hisp Black Male,354,373,409,379,293,206,230,327,414,492,507,462,420,385,351,387,347,210,6546
Garrett County,2045,Total Hispanic,69,69,62,50,62,30,54,35,35,30,32,32,49,21,18,16,11,8,683
Garrett County,2035,Non-Hisp White Male,708,768,821,751,670,685,782,908,897,789,881,930,951,1038,1001,786,462,340,14168
Prince George's County,2045,Total Non-Hispanic White,4154,3210,3161,3320,8483,7735,6362,5046,4687,5291,6873,6114,4264,3371,2912,3023,3176,4455,85637
Harford County,2010,Total Female,7321,7850,8820,8297,6637,7081,7121,8169,9472,10788,10142,8481,7222,5460,3772,2966,2371,2086,124056
Cecil County,2010,Non-Hisp Other Female,198,203,204,144,101,117,95,123,108,93,92,68,62,29,23,15,5,5,1685
Harford County,2025,Total Non-Hispanic Black,2789,2655,2795,2979,2281,2410,2750,2635,2407,2355,2589,2722,2488,1913,1216,647,340,270,38241
Queen Anne's County,2035,Non-Hisp Other Male,103,78,50,32,35,99,94,80,67,47,32,30,44,51,41,29,6,-1,917
Harford County,2035,Total Hispanic,1520,1399,1435,1415,1528,1679,1467,1247,1052,862,917,784,709,539,420,324,178,64,17539
Wicomico County,2025,Total Male,3423,3090,3089,3454,4448,3387,3216,3392,2959,3063,2657,2790,2988,2958,2208,1611,913,808,50454
Anne Arundel County,2010,Total Non-Hispanic Black,5783,5906,6090,5973,4862,5431,5498,5756,6185,6310,5462,4312,3233,2176,1513,1110,692,573,76865
Somerset County,2020,Non-Hisp Other Male,55,56,39,25,38,22,27,12,24,21,28,25,26,23,8,7,4,5,445
Anne Arundel County,2040,Non-Hisp White Female,9170,8870,9047,9069,8518,10848,9745,9774,10393,10884,11543,10550,9558,9799,10868,10922,8393,9023,176974
Kent County,2010,Total Hispanic,101,65,57,59,94,88,70,61,53,34,31,18,14,9,2,8,3,2,769
Harford County,2020,Hispanic Male,525,604,727,629,621,531,488,421,414,420,306,221,200,102,91,50,20,16,6386
Queen Anne's County,2025,Total Male,1350,1397,1420,1548,1190,1145,1259,1742,1656,1369,1461,1959,2286,1979,1477,1162,658,480,25538
Caroline County,2015,Total Hispanic,271,253,242,170,202,219,229,152,141,98,71,59,26,15,7,5,2,2,2164
State of Maryland,2030,Non-Hisp White Male,75925,76181,75261,67701,67259,83522,88924,98753,97914,88961,76803,79053,91346,100219,87686,67136,46979,37633,1407256
Somerset County,2040,Total Non-Hispanic White,465,463,503,491,493,460,428,611,636,774,852,956,982,917,782,842,607,490,11752
Wicomico County,2030,Total Non-Hispanic Black,2536,2499,2708,2482,2474,2087,2024,2220,2206,1880,1614,1436,1501,1615,1278,873,437,305,32175
Cecil County,2030,Total Non-Hispanic White,5536,5499,4724,4584,5763,6122,5127,5138,5436,5063,5377,6106,7199,6973,5653,4278,2901,2492,93971
Cecil County,2010,Total Hispanic,437,377,320,326,284,305,274,244,229,173,143,82,62,36,28,18,10,17,3365
Frederick County,2020,Non-Hisp Other Male,795,714,1108,975,575,512,514,598,665,740,599,541,471,338,167,101,83,27,9523
Queen Anne's County,2015,Non-Hisp Black Male,71,96,99,87,87,74,90,72,82,86,93,149,124,97,66,45,20,25,1463
Allegany County,2040,Total Hispanic,93,74,65,67,62,57,54,83,74,72,70,42,53,43,30,19,12,20,990
Dorchester Co,2030,Total Male,1043,1043,1060,983,945,878,887,1004,1240,1240,1045,1050,1165,1266,1095,714,460,319,17437
Queen Anne's County,2030,Total Female,1539,1611,1569,1358,1187,1276,1499,1704,1908,1718,1477,1769,2133,2224,1948,1460,1020,963,28363
Worcester County,2045,Hispanic Male,94,103,108,103,80,73,85,94,98,62,72,95,95,77,62,54,36,35,1426
Somerset County,2040,Total Non-Hispanic Black,643,654,746,1064,1185,503,589,585,554,593,245,275,349,276,293,263,186,139,9142
Charles County,2040,Hispanic Male,827,786,753,687,637,698,603,589,498,495,453,404,326,226,195,161,28,41,8407
Montgomery County,2020,Total Male,33899,32969,34243,31985,25296,32599,36398,37130,33357,32748,32911,33851,30960,24186,18675,12315,7333,7726,498581
Somerset County,2015,Non-Hisp Black Female,148,207,223,372,594,123,160,187,161,212,238,196,177,162,123,61,62,73,3479
Queen Anne's County,2045,Non-Hisp Black Female,127,134,156,144,126,115,112,121,235,167,206,222,224,171,125,140,124,183,2832
Cecil County,2015,Non-Hisp Black Female,189,208,236,281,261,226,190,240,227,247,280,221,167,95,58,47,22,24,3219
Allegany County,2010,Total Female,1652,1744,1851,2181,2451,1876,1678,1932,2062,2483,2546,2402,2378,1939,1640,1394,1202,1063,34474
Anne Arundel County,2040,Total Male,19727,19202,19053,17996,15896,17913,19240,18818,18650,19300,19546,19113,15325,14016,13168,11852,8100,6807,293722
State of Maryland,2020,Non-Hisp Black Male,59583,59947,63100,60277,52892,59861,56492,54255,51190,51209,54344,56080,47779,34339,24566,14396,8124,6185,814619
Calvert County,2040,Non-Hisp Black Male,347,356,393,361,263,183,282,315,472,470,459,416,402,369,449,413,273,167,6390
Montgomery County,2020,Non-Hisp White Male,11017,10713,11327,9441,7275,12215,14758,14461,11658,12221,14306,16991,17154,14424,11579,7809,4604,4765,206718
Garrett County,2030,Non-Hisp Black Female,33,49,60,32,31,11,6,17,6,1,1,2,0,0,0,1,0,1,251
St. Mary's County,2035,Total Female,4991,5048,4828,4047,3716,4522,5012,4859,5242,4962,4624,3810,3718,3864,3749,2939,1870,1587,73388
Howard County,2045,Non-Hisp Other Female,3203,3205,3221,3348,3531,3682,3842,3612,3771,3697,3473,3425,3731,3481,3106,2512,1963,2041,58844
Wicomico County,2040,Hispanic Female,496,436,365,312,291,316,380,253,200,233,238,246,101,72,41,43,9,19,4051
Calvert County,2015,Total Hispanic,287,400,423,324,221,184,197,207,192,230,254,133,72,70,45,27,13,25,3304
Calvert County,2020,Hispanic Male,156,182,189,208,119,108,122,105,98,97,118,93,38,36,34,24,6,28,1761
Somerset County,2030,Hispanic Male,73,72,65,54,43,23,15,20,31,26,21,8,5,3,1,0,1,1,462
Carroll County,2045,Non-Hisp Other Male,462,530,527,548,314,263,268,311,330,282,281,273,193,146,192,83,44,19,5066
Charles County,2025,Total Non-Hispanic White,2705,2750,2901,2676,2780,3179,3374,3150,3220,2985,3448,4593,5390,4697,3755,2885,1885,1311,57684
Garrett County,2025,Total Hispanic,42,42,57,38,40,14,23,20,31,32,26,25,18,6,6,10,5,8,443
Prince George's County,2040,Non-Hisp White Male,2181,1813,1902,1973,4837,4092,3094,2803,3073,4091,3588,2503,1940,1700,1796,2160,1826,1790,47162
Montgomery County,2040,Hispanic Male,12799,12054,10856,9964,9236,9163,8857,8827,8009,8340,8963,9716,8768,6907,4945,3721,1831,1056,144012
State of Maryland,2035,Non-Hisp Other Male,28169,26647,25537,23524,22291,27804,26848,24198,22279,21093,20689,20204,19769,16183,13816,9866,6162,8251,363330
